teacher/subject,Japanese,math,math1A,math2B,math3,English,science, social studies
t1,1,0,0,0,0,0,0,0
t1,1,0,0,0,0,0,0,0
t2,0,0,0,0,0,1,0,0
t2,0,0,0,0,0,1,0,0
t3,0,0,0,0,0,1,0,0
t3,0,0,0,0,0,1,0,0
t4,0,1,1,0,0,1,1,0
t4,0,1,1,0,0,1,1,0
t5,0,1,1,1,0,1,1,0
t5,0,1,1,1,0,1,1,0
t6,0,1,1,1,1,0,1,0
t6,0,1,1,1,1,0,1,0
t7,1,0,0,0,0,1,0,1
t7,1,0,0,0,0,1,0,1
t8,0,1,1,1,1,1,1,0
t8,0,1,1,1,1,1,1,0
t9,1,0,0,0,0,0,0,1
t9,1,0,0,0,0,0,0,1
t10,0,1,1,1,0,0,1,0
t10,0,1,1,1,0,0,1,0
t11,0,1,1,0,0,1,1,0
t11,0,1,1,0,0,1,1,0
t12,1,0,0,0,0,1,0,0
t12,1,0,0,0,0,1,0,0
t13,0,1,1,1,1,1,1,0
t13,0,1,1,1,1,1,1,0
t14,1,1,1,1,0,0,0,0
t14,1,1,1,1,0,0,0,0
t15,1,0,0,0,0,1,0,1
t15,1,0,0,0,0,1,0,1
t16,1,0,0,0,0,1,0,1
t16,1,0,0,0,0,1,0,1
t17,0,0,0,0,0,1,0,1
t17,0,0,0,0,0,1,0,1
t18,1,0,0,0,0,1,0,0
t18,1,0,0,0,0,1,0,0
t19,0,0,0,0,0,1,0,0
t19,0,0,0,0,0,1,0,0
t20,1,1,1,0,0,0,0,0
t20,1,1,1,0,0,0,0,0
