student/subject,Japanese,math,math1A,math2B,math3,English,science, social studies
s1,1,1,0,0,0,0,0,0
s2,0,0,1,1,1,0,0,0
s3,0,1,1,1,0,0,0,0
s4,0,0,0,0,1,0,0,0
s5,0,0,0,1,0,0,0,0
s6,3,0,0,3,0,0,3,3
s7,3,0,3,0,0,0,3,3
s8,2,2,2,0,0,0,0,0
s9,0,0,0,0,1,1,0,0
s10,0,0,0,0,0,4,0,0
s11,0,0,1,0,0,1,0,0
s12,1,0,0,1,0,1,0,0
s13,1,0,0,0,1,1,0,0
s14,0,2,0,0,0,0,0,0
s15,1,0,0,0,1,1,0,0
s16,0,0,0,2,3,5,0,0
s17,4,2,2,0,0,6,0,0
s18,1,1,0,0,0,1,0,0
s19,2,1,0,0,1,2,1,0
s20,4,0,1,2,2,4,3,1
s21,1,0,2,0,0,2,1,1
s22,0,0,0,0,1,0,1,0
s23,0,1,1,0,0,0,0,0
s24,0,0,0,1,0,1,0,0
s25,0,0,1,0,0,0,0,0
s26,0,0,0,1,0,0,0,0
s27,0,0,0,1,0,1,2,0
s28,0,0,0,0,2,0,0,0
s29,0,0,0,0,1,1,0,0
s30,1,0,0,0,0,1,0,0
s31,0,0,0,0,0,1,0,0
s32,0,0,0,0,0,2,0,0
s33,0,0,0,0,0,1,0,0
s34,0,1,0,0,0,1,0,0
s35,0,0,1,0,0,0,0,0
s36,1,0,0,0,0,1,0,0
s37,2,0,0,0,0,0,0,0
s38,0,0,0,0,1,1,1,0
s39,0,0,0,0,0,1,0,0
s40,3,0,0,0,0,1,0,0
s41,0,0,0,1,0,1,1,0
